Order_ID,Distance_km,Traffic,Weather,Delivery_Time_min,Delivery_Cost,Customer_Rating,Delivery_Status
1001,9.99,Low,Rain,46,69.96,4.6,On Time
1002,23.82,Low,Rain,75,125.28,4.4,Delayed
1003,18.57,High,Rain,78,104.28,3.2,Delayed
1004,15.37,Medium,Rain,60,91.48,3.2,On Time
1005,4.74,Medium,Clear,38,48.96,5.0,On Time
1006,4.74,Low,Storm,38,48.96,3.7,On Time
1007,2.39,Jam,Rain,51,39.56,3.7,On Time
1008,21.79,Medium,Storm,81,117.16,4.6,Delayed
1009,15.43,Jam,Storm,86,91.72,4.9,Delayed
1010,17.99,Medium,Rain,67,101.96,5.0,On Time
1011,1.49,Jam,Clear,38,35.96,4.5,On Time
1012,24.28,High,Rain,87,127.12,3.8,Delayed
1013,20.98,Jam,Clear,81,113.92,3.2,Delayed
1014,6.1,High,Storm,61,54.4,4.6,On Time
1015,5.36,High,Clear,48,51.44,4.1,On Time
1016,5.4,Jam,Clear,50,51.6,3.8,On Time
1017,8.3,High,Clear,51,63.2,4.8,On Time
1018,13.59,Low,Storm,57,84.36,3.2,On Time
1019,11.37,High,Storm,63,75.48,4.0,On Time
1020,7.99,Medium,Clear,40,61.96,3.0,On Time
1021,15.68,Jam,Clear,72,92.72,3.9,Delayed
1022,4.35,Low,Rain,40,47.4,3.1,On Time
1023,8.01,Jam,Clear,60,62.04,3.2,On Time
1024,9.79,Medium,Rain,52,69.16,3.2,On Time
1025,11.95,Medium,Clear,48,77.8,4.3,On Time
1026,19.84,Medium,Rain,70,109.36,4.5,On Time
1027,5.79,High,Storm,53,53.16,4.2,On Time
1028,13.34,High,Clear,58,83.36,4.9,On Time
1029,15.22,Jam,Clear,74,90.88,3.7,Delayed
1030,2.11,Jam,Clear,48,38.44,3.6,On Time
1031,15.58,Low,Clear,48,92.32,4.7,On Time
1032,5.09,Low,Rain,41,50.36,3.4,On Time
1033,2.56,Jam,Clear,40,40.24,4.9,On Time
1034,23.77,High,Storm,95,125.08,3.0,Delayed
1035,24.18,Medium,Storm,84,126.72,4.9,Delayed
